bill	5.599912842187128		15	12		0	0
promotion	4.484435624767191		28	26		0	0
howdy	9.184875342908285		1	1		0	0
erin	8.184875342908285		2	2		0	0
congratulations	3.8273233382902		39	39		2	2
gt	5.725443724270987		910	10		1	1
hey	4.936947829464699		12	12		7	7
vince	4.277984747299765		44	30		0	0
price	2.0049662528933494		34	13		234	132
byo3aimbhttpfreehitodumafreeblogsanchanusita	9.184875342908285		0	0		6	1
httpwwwayvercominfoguide5manhr	7.184875342908285		0	0		12	4
vale	9.184875342908285		1	1		0	0
beanie	9.184875342908285		1	1		0	0
buddie	9.184875342908285		1	1		0	0
sally	3.6930222465786096		117	45		0	0
i	1.2190910582461967		818	199		205	51
t	6.37752042085068		9	3		6	4
buddy	8.184875342908285		2	2		0	0
5957	8.184875342908285		2	2		0	0
292	8.184875342908285		2	2		0	0
281	7.599912842187128		3	3		0	0
big	2.6613133868512713		17	15		160	77
bryan	7.184875342908285		5	4		0	0
md	6.014950341465972		9	9		0	0
ci	5.725443724270987		0	0		11	11
congrats	5.862947248020922		10	10		0	0
baby	5.277984747299765		11	11		4	4
wwwaurahautnacom	9.184875342908285		0	0		1	1
distance	9.184875342908285		0	0		1	1
thanks	3.2075954194083676		76	62		1	1
maku	6.599912842187128		0	0		19	6
gamn	4.725443724270987		0	0		66	22
bud	9.184875342908285		1	1		0	0
carry	5.484435624767192		1	1		12	12
diploma	7.184875342908285		0	0		4	4
sozmb	8.184875342908285		0	0		2	2
alavbtaeyjenjbjvkb	8.184875342908285		0	0		2	2
sozsl	8.184875342908285		0	0		2	2
sasasaxqb	8.184875342908285		0	0		2	2
httpfreehitodumafreeblogksitcxser	9.184875342908285		0	0		2	1
gua	5.862947248020922		0	0		10	10
xa	5.862947248020922		0	0		10	10
medds	5.862947248020922		0	0		10	10
pch	5.862947248020922		0	0		10	10
vaiium	5.862947248020922		0	0		10	10
naax	5.862947248020922		0	0		10	10
ialis	5.862947248020922		0	0		10	10
macy	5.862947248020922		0	0		10	10
phar	5.862947248020922		0	0		10	10
viggra	5.862947248020922		0	0		10	10
ulltraam	5.862947248020922		0	0		10	10
ranteeed	5.862947248020922		0	0		10	10
satiisfaction	5.862947248020922		0	0		10	10
httpasemuimuoresinfo83156116	5.862947248020922		0	0		10	10
phantermiine	5.862947248020922		0	0		10	10
complete	3.9369478294646987		11	7		37	31
bargain	5.725443724270987		1	1		10	10
most	3.1187861524505114		51	26		61	41
major	3.9369478294646987		8	7		31	31
h	5.599912842187128		11	7		7	5
deserved	5.599912842187128		12	12		0	0
enron	3.184875342908284		239	64		0	0
gains	3.6930222465786096		0	0		67	45
